date_taken,key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,hospital_beds
10/1/20,SE_214,82.8,,,,,,,
10/1/20,SE_221,82.5,,,,,,,
10/1/20,SE_224,82.5,,,,,,,
10/1/20,SE_231,82.7,,,,,,,
10/1/20,SE_232,82.7,,,,,,,
10/1/20,SE_311,82.2,,,,,,,
10/1/20,SE_312,82.2,,,,,,,
10/1/20,SE_313,82.2,,,,,,,
10/1/20,SE_321,82,,,,,,,
10/1/20,SE_331,81.7,,,,,,,
10/1/20,SE_332,81.7,,,,,,,
10/1/20,SG,83.146341,16.5,5.5,2.3,59.839,34.939,25.9,2.4
10/1/20,SI,81.5,22.5,5.9,1.7,90.934,45.488,22.6,
10/1/20,SK,77.4,30.1,6.5,4.6,144.821,64.214,33.5,5.8
10/1/20,SL,54.309,24.8,2.4,78.5,392.263,353.346,324.1,
10/1/20,SM,85.41707,,5.9,1.7,,,,
10/1/20,SN,67.665,8.2,2.4,31.8,216.045,144.704,160.7,
10/1/20,SO,57.068,,5.1,76.6,324.793,269.466,212.8,
10/1/20,SR,71.57,25,12.5,16.9,219.754,118.443,56.7,
10/1/20,SS,57.604,,10.2,63.7,350.689,300.898,165.1,
10/1/20,ST,70.17,,2.4,24.4,188.249,124.395,162.4,
10/1/20,SV,73.096,9.9,8.8,11.8,268.447,103.299,41.9,
10/1/20,SX,78.292683,,6.8,,,,,
10/1/20,SY,71.779,,13.5,14,237.292,73.258,75.2,
10/1/20,SZ,59.401,9,4.5,43,479.936,309.883,137,
10/1/20,TD,53.977,,6,71.4,377.607,335.378,280.1,
10/1/20,TG,60.76,7.4,2.4,47.4,277.736,244.396,249.6,
10/1/20,TH,76.931,19.9,7,7.8,186.853,77.992,61.5,
10/1/20,TJ,70.879,,6.1,30.4,164.528,96.277,129.3,
10/1/20,TL,69.26,42.6,6.7,39.3,168.862,117.478,139.8,
10/1/20,TM,68.073,,6.1,39.3,243.687,128.231,79.3,
10/1/20,TN,76.505,32.7,8.5,14.6,106.668,67.321,56.1,2.3
10/1/20,TO,70.801,27.9,15.7,13.4,213.56,120.542,73.3,
10/1/20,TR,78.9,27.2,11.1,9.1,119.237,62.33,46.6,
10/1/20,TT,73.38,,11,16.4,186.336,108.616,38.6,
10/1/20,TV,,,22.1,20.6,,,,
10/1/20,TZ,65.015,14.8,5.7,37.6,249.798,193.172,139,
10/1/20,UA,71.582683,28.9,6.1,7.5,,,70.7,
10/1/20,UG,62.973,10,2.5,33.8,302.371,233.267,155.7,
10/1/20,US,78.539024,21.8,10.8,5.6,139.141,81.935,13.3,
10/1/20,UY,77.77,16.8,7.3,6.4,139.322,76.015,17.5,
10/1/20,UZ,71.573,12.6,6.5,19.1,169.704,100.911,81.1,
10/1/20,VC,72.415,,11.6,14.8,206.879,125.132,47.6,
10/1/20,VE,72.128,,7,21.4,206.678,94.804,34.6,
10/1/20,VG,,,14.2,,,,,
10/1/20,VI,79.568293,,12.3,,70.177,41.141,,
10/1/20,VN,75.317,22.8,6,16.5,188.583,76.363,64.5,
10/1/20,VU,70.323,18.6,11.9,22.3,151.626,102.42,135.6,
10/1/20,WS,73.187,27.7,9.2,13.6,138.239,80.735,85,
10/1/20,YE,66.096,18.4,5.4,42.9,219.749,174.558,194.2,
10/1/20,ZA,63.857,20.3,12.7,28.5,376.404,248.816,86.7,
10/1/20,ZM,63.51,13.8,4.5,40.4,321.143,221.573,127.2,
10/1/20,ZW,61.195,15.8,1.8,33.9,373.207,337.702,133,
